time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.Altitude,.Easting,.Northing,.Zone_nos,.Zone_let
2022/02/08/12:04:55.522410,158,0,0,,42.34078,-71.09773333333334,10.0,327197.0835681776,4689744.913149183,19.0,T
2022/02/08/12:04:56.505720,159,0,0,,42.340781666666665,-71.09773,10.0,327197.36273233616,4689745.09144542,19.0,T
2022/02/08/12:04:57.522647,160,0,0,,42.340785,-71.09772666666667,10.0,327197.6464623336,4689745.4548125,19.0,T
2022/02/08/12:04:58.541576,161,0,0,,42.340788333333336,-71.09772333333333,9.9,327197.93019230675,4689745.81817959,19.0,T
2022/02/08/12:04:59.519782,162,0,0,,42.34079,-71.09772166666667,9.9,327198.0720572785,4689745.99986314,19.0,T
2022/02/08/12:05:00.503194,163,0,0,,42.34079333333333,-71.09771833333333,9.8,327198.3557872089,4689746.363230245,19.0,T
2022/02/08/12:05:01.503320,164,0,0,,42.340795,-71.097715,9.8,327198.6349512775,4689746.541526534,19.0,T
2022/02/08/12:05:02.520222,165,0,0,,42.34079833333333,-71.09771333333333,9.9,327198.78138204676,4689746.908280927,19.0,T
2022/02/08/12:05:03.538793,166,0,0,,42.3408,-71.09771,10.0,327199.06054608105,4689747.08657723,19.0,T
2022/02/08/12:05:04.501453,167,0,0,,42.340803333333334,-71.09770666666667,10.1,327199.34427591856,4689747.449944373,19.0,T
2022/02/08/12:05:05.501142,168,0,0,,42.340805,-71.09770333333333,10.1,327199.6234399169,4689747.6282407,19.0,T
2022/02/08/12:05:06.522125,169,0,0,,42.340808333333335,-71.0977,10.2,327199.90716970223,4689747.991607865,19.0,T
2022/02/08/12:05:07.504784,170,0,0,,42.34081166666667,-71.09769666666666,10.2,327200.19089945906,4689748.354975043,19.0,T
2022/02/08/12:05:08.523745,171,0,0,,42.34081333333334,-71.09769333333334,10.2,327200.4700633999,4689748.533271401,19.0,T
2022/02/08/12:05:09.522796,172,0,0,,42.34081666666667,-71.09769,10.1,327200.75379310874,4689748.896638599,19.0,T
2022/02/08/12:05:10.506348,173,0,0,,42.34082,-71.09768833333334,10.1,327200.9002237255,4689749.263393031,19.0,T
2022/02/08/12:05:11.516236,174,0,0,,42.34082166666666,-71.09768666666666,10.1,327201.04208855645,4689749.445076639,19.0,T
2022/02/08/12:05:12.500612,175,0,0,,42.340825,-71.097685,10.1,327201.18851915066,4689749.8118310785,19.0,T
2022/02/08/12:05:13.520094,176,0,0,,42.340826666666665,-71.09768333333334,10.1,327201.33038396394,4689749.993514689,19.0,T
2022/02/08/12:05:14.499587,177,0,0,,42.34083,-71.09768,10.1,327201.61411357124,4689750.356881919,19.0,T
2022/02/08/12:05:15.518064,178,0,0,,42.340831666666666,-71.09767666666667,10.2,327201.89327739715,4689750.535178332,19.0,T
2022/02/08/12:05:16.501982,179,0,0,,42.340833333333336,-71.09767333333333,10.2,327202.1724412128,4689750.713474754,19.0,T
2022/02/08/12:05:17.505329,180,0,0,,42.340835,-71.09767166666667,10.2,327202.31430598313,4689750.895158384,19.0,T
2022/02/08/12:05:18.524787,181,0,0,,42.34083833333333,-71.09766833333333,10.2,327202.5980355046,4689751.258525651,19.0,T
2022/02/08/12:05:19.504947,182,0,0,,42.34084,-71.097665,10.2,327202.87719926925,4689751.4368221015,19.0,T
2022/02/08/12:05:20.523554,183,0,0,,42.34084333333333,-71.09766166666667,10.3,327203.1609287427,4689751.800189393,19.0,T
2022/02/08/12:05:21.523157,184,0,0,,42.340845,-71.09765833333333,10.3,327203.4400924714,4689751.978485862,19.0,T
2022/02/08/12:05:22.519884,185,0,0,,42.340848333333334,-71.097655,10.5,327203.72382189275,4689752.341853174,19.0,T
2022/02/08/12:05:23.538538,186,0,0,,42.34085,-71.09765,10.6,327204.1402845835,4689752.516762502,19.0,T
2022/02/08/12:05:24.506454,187,0,0,,42.340853333333335,-71.09764666666666,10.7,327204.4240139453,4689752.88012984,19.0,T
2022/02/08/12:05:25.505999,188,0,0,,42.340855,-71.09764333333334,10.9,327204.7031776005,4689753.058426359,19.0,T
2022/02/08/12:05:26.505996,189,0,0,,42.34085666666667,-71.09764,11.0,327204.98234124127,4689753.236722888,19.0,T
2022/02/08/12:05:27.505507,190,0,0,,42.34085833333334,-71.097635,11.2,327205.3988038431,4689753.411632287,19.0,T
2022/02/08/12:05:28.524220,191,0,0,,42.34086166666667,-71.09763166666667,11.4,327205.68253310455,4689753.774999675,19.0,T
2022/02/08/12:05:29.507084,192,0,0,,42.340865,-71.09762666666667,11.5,327206.10356130253,4689754.134979945,19.0,T
2022/02/08/12:05:30.506494,193,0,0,,42.34086833333333,-71.09762333333333,11.5,327206.3872905016,4689754.49834736,19.0,T
2022/02/08/12:05:31.500517,194,0,0,,42.340871666666665,-71.09762,11.7,327206.6710196702,4689754.861714784,19.0,T
2022/02/08/12:05:32.506067,195,0,0,,42.340875,-71.09761666666667,11.8,327206.95474881434,4689755.2250822205,19.0,T
2022/02/08/12:05:33.525290,196,0,0,,42.34087666666667,-71.09761333333333,11.8,327207.2339123091,4689755.403378835,19.0,T
2022/02/08/12:05:34.500768,197,0,0,,42.340878333333336,-71.09761,11.9,327207.51307579153,4689755.581675463,19.0,T
2022/02/08/12:05:35.500900,198,0,0,,42.34088,-71.09760666666666,11.9,327207.79223925946,4689755.759972098,19.0,T
2022/02/08/12:05:36.507071,199,0,0,,42.34088166666667,-71.097605,11.9,327207.9341037886,4689755.941655839,19.0,T
2022/02/08/12:05:37.501196,200,0,0,,42.340885,-71.09760166666666,11.9,327208.21783282113,4689756.305023323,19.0,T
2022/02/08/12:05:38.520235,201,0,0,,42.34088666666667,-71.09759833333334,11.8,327208.4969962423,4689756.483319987,19.0,T
2022/02/08/12:05:39.505562,202,0,0,,42.34088833333333,-71.097595,11.9,327208.77615964913,4689756.661616661,19.0,T
2022/02/08/12:05:40.507834,203,0,0,,42.34089,-71.09759166666667,11.9,327209.05532303936,4689756.839913346,19.0,T
2022/02/08/12:05:41.505580,204,0,0,,42.340891666666664,-71.09758833333333,11.9,327209.33448641934,4689757.018210042,19.0,T
2022/02/08/12:05:42.499896,205,0,0,,42.340893333333334,-71.09758666666667,12.0,327209.47635087976,4689757.199893812,19.0,T
2022/02/08/12:05:43.522758,206,0,0,,42.340895,-71.09758333333333,12.0,327209.75551423454,4689757.378190524,19.0,T
2022/02/08/12:05:44.523941,207,0,0,,42.340896666666666,-71.09757833333333,12.1,327210.1719764644,4689757.553100196,19.0,T
2022/02/08/12:05:45.506340,208,0,0,,42.3409,-71.09757666666667,12.1,327210.3184064354,4689757.919854812,19.0,T
2022/02/08/12:05:46.518510,209,0,0,,42.34090166666667,-71.09757333333333,12.1,327210.5975697356,4689758.098151555,19.0,T
